TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
294,18090,61.53061,-3.377551,175,0.376397,0.1
295,18127,61.44746,-3.39661,175,0.3758923,0.1
296,18161,61.35473,-3.418919,175,0.3759275,0.1
297,18197,61.26936,-3.286195,175,0.3765217,0.1
298,18233,61.18456,-3.395973,175,0.3765946,0.1
299,18270,61.10368,-3.494983,175,0.3772996,0.1
300,18308,61.02667,-3.476667,175,0.3775456,0.1
301,18345,60.94684,-3.415282,175,0.3777454,0.1
302,18382,60.86755,-3.32947,175,0.3771162,0.1
303,18418,60.78548,-3.331683,175,0.3762785,0.1
304,18451,60.69408,-3.310855,175,0.3759735,0.1
305,18488,60.61639,-3.355738,175,0.3761389,0.1
306,18524,60.53595,-3.383987,175,0.3766316,0.1
307,18560,60.45602,-3.333876,175,0.3758567,0.1
308,18597,60.37987,-3.274351,175,0.3755111,0.1
309,18632,60.29773,-3.312298,175,0.3755105,0.1
310,18660,60.19355,-3.391936,175,0.3760816,0.1
311,18691,60.09968,-3.287781,175,0.3760372,0.1
312,18727,60.02243,-3.161859,175,0.3766965,0.1
313,18762,59.94249,-3.22524,175,0.3765647,0.1
314,18798,59.86624,-3.100318,175,0.3761538,0.1
315,18833,59.7873,-2.960317,175,0.3764737,0.1
316,18868,59.70886,-3.023734,175,0.3767945,0.1
317,18903,59.63092,-2.985804,175,0.3760822,0.1
318,18939,59.5566,-2.938679,175,0.3766256,0.1
319,18973,59.47649,-2.835423,175,0.3764262,0.1
320,19008,59.4,-2.698437,175,0.3763682,0.1
321,19042,59.32087,-2.596573,175,0.3760732,0.1
322,19075,59.23913,-2.504658,175,0.376,0.1
323,19109,59.16099,-2.329721,175,0.3758115,0.1
324,19143,59.08333,-2.279321,175,0.37539,0.1
325,19175,59,-2.296923,175,0.3750357,0.1
326,19210,58.92638,-2.31135,175,0.374505,0.1
327,19240,58.83792,-2.126911,175,0.3742217,0.1
328,19271,58.75305,-2.056402,175,0.374451,0.1
329,19307,58.68389,-2.037994,175,0.3744519,0.1
330,19342,58.61212,-2.004545,175,0.3742357,0.1
331,19376,58.53777,-2.004532,175,0.3745394,0.1
332,19410,58.46386,-2.004518,175,0.3738856,0.1
333,19444,58.39039,-2.004504,175,0.3740729,0.1
334,19478,58.31736,-1.860778,175,0.3747246,0.1
335,19511,58.24179,-1.91791,175,0.3741421,0.1
336,19545,58.16964,-1.941964,175,0.3734092,0.1
337,19578,58.09496,-1.761128,175,0.3733855,0.1
338,19610,58.01775,-1.732249,175,0.3736026,0.1
339,19643,57.94395,-1.647493,175,0.373912,0.1
340,19676,57.87059,-1.633824,175,0.3743436,0.1
341,19709,57.79765,-1.760997,175,0.3748544,0.1
342,19741,57.72222,-1.662281,175,0.3743099,0.1
343,19774,57.65015,-1.602041,175,0.3741372,0.1
344,19803,57.56686,-1.600291,175,0.3739557,0.1
345,19835,57.49275,-1.734783,175,0.373862,0.1
346,19868,57.42197,-1.767341,175,0.3735957,0.1
347,19900,57.3487,-1.716138,175,0.3733104,0.1
348,19932,57.27586,-1.688218,175,0.3733235,0.1
349,19964,57.20344,-1.706304,175,0.3726767,0.1
350,19996,57.13143,-1.747143,175,0.373002,0.1
351,20024,57.04843,-1.730769,175,0.3734221,0.1
352,20056,56.97727,-1.725852,175,0.3727306,0.1
353,20088,56.90652,-1.720963,175,0.3721636,0.1
354,20120,56.83616,-1.783898,175,0.3721293,0.1
355,20151,56.76338,-1.764789,175,0.3720606,0.1
356,20181,56.6882,-1.776685,175,0.3722587,0.1
357,20213,56.61905,-1.704482,175,0.372574,0.1
358,20245,56.55028,-1.76676,175,0.3728065,0.1
359,20276,56.47911,-1.859331,175,0.3732369,0.1
360,20306,56.40556,-1.781944,175,0.3732029,0.1
361,20335,56.32964,-1.779778,175,0.3728338,0.1
362,20366,56.25967,-1.827348,175,0.372976,0.1
363,20398,56.19284,-1.844353,175,0.3731754,0.1
364,20428,56.12088,-1.899725,175,0.372849,0.1
365,20460,56.05479,-1.916438,175,0.3728333,0.1
366,20490,55.98361,-1.905738,175,0.3729163,0.1
367,20521,55.91553,-1.799728,175,0.3727222,0.1
368,20552,55.84783,-1.78125,175,0.3732178,0.1
369,20584,55.7832,-1.754743,175,0.3738134,0.1
370,20615,55.71622,-1.714865,175,0.3734432,0.1
371,20646,55.6496,-1.567385,175,0.3735841,0.1
372,20675,55.57796,-1.501344,175,0.3733584,0.1
373,20706,55.51207,-1.505362,175,0.3736193,0.1
374,20737,55.44653,-1.509358,175,0.3739827,0.1
375,20767,55.37867,-1.478667,175,0.3736809,0.1
376,20798,55.31383,-1.567819,175,0.3735419,0.1
377,20828,55.24669,-1.473475,175,0.3731943,0.1
378,20857,55.17725,-1.51455,175,0.3727924,0.1
379,20888,55.11346,-1.476253,175,0.3729206,0.1
380,20919,55.05,-1.438158,175,0.3728529,0.1
381,20948,54.98163,-1.41601,175,0.3729804,0.1
382,20978,54.91623,-1.42801,175,0.3724923,0.1
