TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
276,14137,51.22102,-2.509058,93,0.3419519
277,14170,51.15524,-2.431408,93,0.3412565
278,14201,51.08273,-2.375899,93,0.3408979
279,14233,51.01434,-2.224014,93,0.3406395
280,14265,50.94643,-2.244643,93,0.340963
281,14297,50.87901,-2.151246,93,0.3400303
282,14329,50.81206,-2.086879,93,0.3402796
283,14360,50.74205,-2.061837,93,0.339966
284,14390,50.66901,-2.075704,93,0.339489
285,14422,50.60351,-2.040351,93,0.3400446
286,14453,50.53497,-2.071678,93,0.3403278
287,14485,50.47038,-2.092335,93,0.3404479
288,14516,50.40278,-2.123264,93,0.3399641
289,14546,50.33218,-2.081315,93,0.3398136
290,14577,50.26552,-2.001724,93,0.3398283
291,14609,50.20275,-1.939862,93,0.3391805
292,14640,50.13699,-1.97089,93,0.339338
293,14671,50.07167,-2.001707,93,0.3398285
294,14702,50.0068,-1.977891,93,0.340378
295,14733,49.94237,-1.845763,93,0.3404203
296,14764,49.87838,-1.903716,93,0.3399498
297,14795,49.81482,-1.880471,93,0.3396824
298,14826,49.75168,-1.723154,93,0.3398572
299,14857,49.68896,-1.700669,93,0.3394816
300,14888,49.62667,-1.785,93,0.3395556
301,14919,49.56479,-1.815615,93,0.3399524
302,14948,49.49669,-1.706954,93,0.3401391
303,14978,49.43234,-1.694719,93,0.3389791
304,15008,49.36842,-1.708882,93,0.3390009
305,15037,49.30164,-1.732787,93,0.33827
306,15067,49.23856,-1.746732,93,0.3382375
307,15098,49.17915,-1.776873,93,0.3388545
308,15128,49.11688,-1.920455,93,0.3392622
309,15159,49.05825,-1.923948,93,0.3389307
310,15190,49,-1.953226,93,0.3390222
311,15220,48.93891,-1.734727,93,0.3385496
312,15250,48.8782,-1.79968,93,0.338926
313,15280,48.81789,-1.761981,93,0.3385307
314,15310,48.75796,-1.724522,93,0.3383739
315,15341,48.70159,-1.728571,93,0.338116
316,15371,48.64241,-1.742089,93,0.3374165
317,15402,48.58675,-1.771293,93,0.3379218
318,15432,48.5283,-1.784591,93,0.3381048
319,15462,48.47022,-1.697492,93,0.3381191
320,15492,48.4125,-1.710938,93,0.3376866
321,15522,48.35514,-1.649533,93,0.3379209
322,15552,48.29814,-1.613354,93,0.3380001
323,15580,48.23529,-1.645511,93,0.3380975
324,15610,48.17901,-1.733025,93,0.3378994
325,15640,48.12308,-1.672308,93,0.3370758
326,15668,48.06135,-1.556749,93,0.3369545
327,15698,48.00611,-1.545872,93,0.3369744
328,15728,47.95122,-1.48628,93,0.3361324
329,15757,47.89362,-1.509119,93,0.3356839
330,15787,47.83939,-1.498485,93,0.3357779
331,15815,47.77946,-1.457704,93,0.3359792
332,15845,47.7259,-1.567771,93,0.3361528
333,15875,47.67267,-1.484985,93,0.3354799
334,15905,47.61976,-1.498503,93,0.3359015
335,15935,47.56717,-1.48806,93,0.3361009
336,15964,47.51191,-1.486607,93,0.3355854
337,15994,47.45994,-1.571217,93,0.3361684
338,16023,47.40533,-1.522189,93,0.3366199
339,16052,47.35103,-1.473451,93,0.3368506
340,16081,47.29706,-1.495588,93,0.3368676
341,16110,47.2434,-1.541056,93,0.3362448
342,16140,47.19298,-1.437135,93,0.3359573
343,16168,47.13703,-1.421283,93,0.3356061
344,16194,47.07558,-1.422965,93,0.3349644
345,16223,47.02319,-1.468116,93,0.3351278
346,16251,46.96821,-1.382948,93,0.3349975
347,16279,46.91354,-1.367435,93,0.3349753
348,16307,46.8592,-1.443966,93,0.3346734
349,16336,46.80802,-1.305158,93,0.3353542
350,16365,46.75714,-1.281429,93,0.3354054
351,16394,46.70655,-1.235043,93,0.335768
352,16422,46.65341,-1.197443,93,0.3355136
353,16451,46.6034,-1.128895,93,0.3355901
354,16480,46.55367,-1.196328,93,0.3357308
355,16510,46.50704,-1.097183,93,0.3360392
356,16539,46.45787,-1.09691,93,0.336415
357,16568,46.40896,-1.07423,93,0.3363094
358,16595,46.35475,-1.046089,93,0.3357058
359,16622,46.30083,-1.018106,93,0.3355134
360,16648,46.24445,-1.043056,93,0.3358064
361,16677,46.19667,-0.9764543,93,0.335927
362,16705,46.14641,-1.029006,93,0.3360146
363,16733,46.09642,-0.9931129,93,0.3354323
364,16761,46.0467,-1.04533,93,0.335705
365,16790,46,-1.110959,93,0.3356844
366,16818,45.95082,-1.053279,93,0.3350859
367,16843,45.89373,-1.042234,93,0.3351483
368,16871,45.84511,-1.115489,93,0.3356407
369,16900,45.79946,-1.115176,93,0.3350772
370,16928,45.75135,-1.209459,93,0.3356355
371,16956,45.7035,-1.130728,93,0.3352649
372,16984,45.65591,-1.116935,93,0.3348492
373,17012,45.60858,-0.9959785,93,0.3349037
374,17040,45.5615,-0.9612299,93,0.335225
375,17069,45.51733,-1.025333,93,0.3352133
376,17097,45.47075,-1.097075,93,0.3355541
377,17125,45.4244,-1.189655,93,0.3355532
378,17153,45.37831,-1.112434,93,0.3350467
379,17181,45.33245,-1.098945,93,0.3350499
380,17209,45.28684,-1.106579,93,0.3350821
381,17236,45.23885,-1.164042,93,0.334527
382,17264,45.19372,-1.129581,93,0.3348247
383,17291,45.14621,-1.165796,93,0.3350718
384,17319,45.10156,-1.152344,93,0.3352272
385,17346,45.05455,-1.167532,93,0.3353619
386,17373,45.00777,-1.182642,93,0.335098
387,17400,44.96124,-1.177003,93,0.3352436
388,17426,44.91237,-1.199742,93,0.3349377
389,17452,44.86375,-1.263496,93,0.3347277
390,17480,44.82051,-1.188462,93,0.3346231
391,17506,44.77238,-1.210997,93,0.3348593
392,17533,44.72704,-1.327806,93,0.3352263
393,17560,44.68193,-1.28117,93,0.3353322
394,17588,44.6396,-1.186548,93,0.3348076
395,17615,44.59494,-1.160759,93,0.334994
396,17640,44.54546,-1.130051,93,0.3346534
397,17668,44.50378,-1.056675,93,0.3346308
398,17695,44.4598,-1.091709,93,0.3341527
399,17722,44.41604,-1.066416,93,0.3344294
400,17749,44.3725,-1.00125,93,0.3344084
401,17776,44.32918,-0.9563591,93,0.33427
402,17803,44.28607,-1.031095,93,0.3345016
403,17830,44.24318,-1.085608,93,0.3343623
404,17858,44.20297,-1.132426,93,0.3344617
405,17885,44.16049,-1.107407,93,0.3348744
406,17911,44.11576,-1.030788,93,0.3343687
407,17938,44.07371,-1.045455,93,0.3348342
408,17964,44.02941,-1.028186,93,0.3351906
409,17990,43.98533,-1.030562,93,0.3352139
410,18018,43.94634,-1.018293,93,0.3353841
411,18044,43.90268,-1.020681,93,0.3356458
412,18071,43.86165,-1.093447,93,0.3356914
413,18099,43.82325,-1.100484,93,0.3353166
414,18126,43.78261,-1.056763,93,0.3355012
415,18152,43.73976,-1.039759,93,0.3354026
416,18179,43.69952,-1.120192,93,0.3356005
417,18205,43.65707,-1.083933,93,0.3356474
418,18231,43.61483,-1.143541,93,0.3358471
419,18257,43.57279,-1.183771,93,0.3359902
420,18283,43.53095,-1.204762,93,0.3361644
