TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue, ExplorationRate
323,18530,57.36842,-6.693499,116,2.39397,0.1
324,18565,57.29938,-6.546296,116,2.393264,0.1
325,18600,57.23077,-6.596923,116,2.391768,0.1
326,18633,57.15644,-6.518405,116,2.389224,0.1
327,18664,57.07645,-6.458715,116,2.389767,0.1
328,18697,57.00305,-6.429878,116,2.390237,0.1
329,18731,56.93313,-6.44073,116,2.389876,0.1
330,18765,56.86364,-6.5,116,2.392179,0.1
331,18799,56.79456,-6.534743,116,2.394217,0.1
332,18832,56.72289,-6.457831,116,2.393698,0.1
333,18866,56.65466,-6.492493,116,2.390809,0.1
334,18900,56.58683,-6.479042,116,2.389738,0.1
335,18933,56.51642,-6.426866,116,2.389856,0.1
336,18967,56.44941,-6.318452,116,2.389009,0.1
337,19000,56.37982,-6.290801,116,2.384135,0.1
338,19032,56.30769,-6.366864,116,2.385438,0.1
339,19063,56.23304,-6.238938,116,2.383381,0.1
340,19093,56.15588,-6.214706,116,2.380145,0.1
341,19126,56.08798,-6.304986,116,2.381299,0.1
342,19159,56.02047,-6.230994,116,2.380528,0.1
343,19191,55.95044,-6.189504,116,2.376438,0.1
344,19223,55.88081,-6.264535,116,2.378484,0.1
345,19256,55.81449,-6.168116,116,2.371853,0.1
346,19289,55.74855,-6.141619,116,2.373703,0.1
347,19321,55.68011,-6.170029,116,2.375043,0.1
348,19354,55.61494,-6.235632,116,2.376796,0.1
349,19387,55.55014,-6.209169,116,2.376901,0.1
350,19420,55.48571,-6.251429,116,2.379484,0.1
351,19452,55.4188,-6.324786,116,2.382278,0.1
352,19484,55.35227,-6.306818,116,2.383872,0.1
353,19517,55.28895,-6.280453,116,2.387717,0.1
354,19550,55.22599,-6.276836,116,2.387282,0.1
355,19582,55.16056,-6.123944,116,2.386708,0.1
356,19616,55.10112,-6.089888,116,2.387566,0.1
357,19649,55.03922,-6.109244,116,2.387915,0.1
358,19681,54.97486,-6.02514,116,2.389708,0.1
359,19714,54.91365,-6.111421,116,2.392502,0.1
360,19746,54.85,-6.161111,116,2.39274,0.1
361,19777,54.78393,-6.041551,116,2.392429,0.1
362,19810,54.72376,-6.082873,116,2.392707,0.1
363,19842,54.66116,-6,116,2.393916,0.1
364,19874,54.5989,-6.093407,116,2.399106,0.1
365,19907,54.53973,-6.112329,116,2.398636,0.1
366,19940,54.48087,-6.131147,116,2.396597,0.1
367,19971,54.41689,-6.144414,116,2.395439,0.1
368,20003,54.35598,-6.040761,116,2.393666,0.1
369,20035,54.29539,-5.98103,116,2.393294,0.1
370,20068,54.23784,-5.956757,116,2.39411,0.1
371,20100,54.1779,-5.983828,116,2.39496,0.1
372,20132,54.11828,-5.860215,116,2.39563,0.1
373,20163,54.0563,-5.852547,116,2.395172,0.1
374,20196,54,-5.935829,116,2.398429,0.1
375,20229,53.944,-5.933333,116,2.399252,0.1
376,20262,53.8883,-5.845745,116,2.394897,0.1
377,20291,53.82228,-5.854111,116,2.391455,0.1
378,20323,53.76455,-5.880952,116,2.39265,0.1
379,20357,53.7124,-5.934037,116,2.394528,0.1
380,20390,53.65789,-5.847368,116,2.391957,0.1
381,20422,53.60105,-5.790026,116,2.390036,0.1
