TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
487,21458,44.0616,-1.12731,94,1.590109
488,21483,44.02254,-1.118852,94,1.591568
489,21512,43.99182,-1.06953,94,1.590092
490,21540,43.95918,-1.026531,94,1.588009
491,21570,43.93075,-1.052953,94,1.588019
492,21599,43.90041,-0.9715447,94,1.586144
493,21628,43.87018,-0.9391481,94,1.587012
494,21657,43.84008,-0.9554656,94,1.586921
495,21686,43.8101,-0.9717172,94,1.587641
496,21715,43.78024,-0.9717742,94,1.588732
497,21741,43.74447,-0.9577465,94,1.5875
498,21770,43.71486,-0.9417671,94,1.588456
499,21798,43.68336,-0.9478958,94,1.589407
500,21827,43.654,-0.964,94,1.589253
501,21855,43.62275,-0.9381238,94,1.589571
502,21883,43.59163,-0.9282869,94,1.588136
503,21911,43.56063,-0.8389662,94,1.589507
504,21939,43.52976,-0.8452381,94,1.587823
505,21966,43.49703,-0.8415841,94,1.585624
506,21994,43.4664,-0.8162056,94,1.585129
507,22022,43.4359,-0.7593688,94,1.585251
508,22050,43.40551,-0.8129922,94,1.586363
509,22079,43.37721,-0.8290766,94,1.586166
510,22108,43.34902,-0.7509804,94,1.586105
511,22136,43.31898,-0.6947162,94,1.586976
512,22163,43.28711,-0.6601563,94,1.587466
513,22191,43.25731,-0.6510721,94,1.588517
514,22220,43.22957,-0.6206226,94,1.586808
515,22248,43.2,-0.5961165,94,1.586774
516,22276,43.17054,-0.5406977,94,1.587384
517,22304,43.1412,-0.5319149,94,1.588655
518,22332,43.11197,-0.523166,94,1.588555
519,22360,43.08285,-0.5144508,94,1.588351
520,22388,43.05384,-0.5365385,94,1.588275
521,22411,43.01535,-0.571977,94,1.588227
522,22439,42.98659,-0.5019157,94,1.586828
523,22467,42.95794,-0.5086042,94,1.585638
524,22495,42.92939,-0.4389313,94,1.585164
525,22523,42.90095,-0.5066667,94,1.585506
526,22551,42.87262,-0.513308,94,1.586015
527,22580,42.8463,-0.4990512,94,1.58623
528,22608,42.81818,-0.4602273,94,1.586611
529,22636,42.79017,-0.4820416,94,1.585864
530,22664,42.76226,-0.4735849,94,1.58705
531,22694,42.73823,-0.5291902,94,1.58668
532,22724,42.71429,-0.4342105,94,1.585987
533,22751,42.6848,-0.4615385,94,1.586103
534,22780,42.65918,-0.5074906,94,1.586384
535,22810,42.63551,-0.517757,94,1.586555
536,22839,42.61007,-0.5186567,94,1.585663
537,22866,42.58101,-0.5158287,94,1.586399
538,22892,42.55019,-0.5929368,94,1.588207
539,22921,42.52505,-0.6679035,94,1.588166
540,22950,42.5,-0.6537037,94,1.588152
541,22980,42.47689,-0.6340111,94,1.586749
542,23009,42.45203,-0.5461255,94,1.587216
543,23038,42.42726,-0.5616943,94,1.587213
544,23067,42.40257,-0.5772059,94,1.588692
545,23095,42.37615,-0.5688074,94,1.5899
546,23124,42.35165,-0.6135531,94,1.589898
547,23153,42.32724,-0.5996343,94,1.590679
548,23182,42.30292,-0.629562,94,1.591582
549,23211,42.27869,-0.6739526,94,1.591982
550,23240,42.25455,-0.6309091,94,1.591828
551,23267,42.22686,-0.6424682,94,1.591366
552,23293,42.19746,-0.6739131,94,1.590709
553,23320,42.16998,-0.6564195,94,1.591665
554,23347,42.1426,-0.6534296,94,1.591724
555,23374,42.11531,-0.6504505,94,1.591835
556,23401,42.08813,-0.6618705,94,1.591523
557,23429,42.06284,-0.6678635,94,1.590458
558,23456,42.03584,-0.6935484,94,1.591151
559,23483,42.00895,-0.7048301,94,1.591851
560,23510,41.98214,-0.7303572,94,1.5929
561,23538,41.95722,-0.7076649,94,1.5941
562,23564,41.92883,-0.6957296,94,1.592464
563,23591,41.90231,-0.6216697,94,1.592524
564,23617,41.87411,-0.5957447,94,1.592994
565,23643,41.84602,-0.5840708,94,1.59228
566,23670,41.81979,-0.5812721,94,1.592528
567,23698,41.79541,-0.6155203,94,1.59291
568,23725,41.76937,-0.5985916,94,1.593736
569,23751,41.74165,-0.6151142,94,1.593637
570,23778,41.71579,-0.5561404,94,1.5927
571,23804,41.68827,-0.558669,94,1.592281
572,23831,41.66259,-0.5839161,94,1.593501
573,23858,41.637,-0.5811518,94,1.593913
574,23884,41.60976,-0.5836237,94,1.594201
575,23910,41.58261,-0.6,94,1.59423
576,23937,41.55729,-0.6527778,94,1.594853
577,23963,41.53033,-0.6689775,94,1.595694
578,23990,41.50519,-0.7076125,94,1.595188
579,24016,41.47841,-0.7098446,94,1.596103
580,24042,41.45173,-0.7534482,94,1.596874
581,24069,41.42685,-0.777969,94,1.596403
582,24095,41.40034,-0.7800688,94,1.5951
583,24121,41.37393,-0.8096055,94,1.596325
584,24148,41.34932,-0.7791096,94,1.596001
585,24174,41.32308,-0.7675214,94,1.59657
586,24200,41.29693,-0.7696246,94,1.596001
587,24225,41.26917,-0.7632027,94,1.596849
588,24251,41.2432,-0.7380952,94,1.594332
589,24278,41.21902,-0.7079796,94,1.593426
590,24304,41.19322,-0.6966102,94,1.59386
591,24329,41.16582,-0.6632826,94,1.594597
592,24353,41.13683,-0.6486486,94,1.594871
593,24379,41.1113,-0.677909,94,1.594074
594,24405,41.08586,-0.6666667,94,1.594259
595,24430,41.05882,-0.7008404,94,1.594212
596,24456,41.03356,-0.7432886,94,1.59597
597,24482,41.00838,-0.7051926,94,1.596939
598,24509,40.98495,-0.7424749,94,1.597107
599,24535,40.95993,-0.7312187,94,1.59565
600,24560,40.93333,-0.7516667,94,1.596245
